userId,movieId,ratings,title
18,34150,3.5,Fantastic Four (2005)
21,34150,3.0,Fantastic Four (2005)
28,34150,3.0,Fantastic Four (2005)
62,34150,3.0,Fantastic Four (2005)
68,34150,3.5,Fantastic Four (2005)
105,34150,3.0,Fantastic Four (2005)
139,34150,2.5,Fantastic Four (2005)
166,34150,3.5,Fantastic Four (2005)
177,34150,2.5,Fantastic Four (2005)
200,34150,2.5,Fantastic Four (2005)
219,34150,2.0,Fantastic Four (2005)
232,34150,3.0,Fantastic Four (2005)
249,34150,3.5,Fantastic Four (2005)
274,34150,2.0,Fantastic Four (2005)
298,34150,0.5,Fantastic Four (2005)
344,34150,4.0,Fantastic Four (2005)
380,34150,4.0,Fantastic Four (2005)
382,34150,3.0,Fantastic Four (2005)
414,34150,2.5,Fantastic Four (2005)
438,34150,3.0,Fantastic Four (2005)
448,34150,2.0,Fantastic Four (2005)
466,34150,4.0,Fantastic Four (2005)
475,34150,4.0,Fantastic Four (2005)
477,34150,3.5,Fantastic Four (2005)
480,34150,2.5,Fantastic Four (2005)
483,34150,2.0,Fantastic Four (2005)
495,34150,3.0,Fantastic Four (2005)
509,34150,2.0,Fantastic Four (2005)
525,34150,1.0,Fantastic Four (2005)
534,34150,3.0,Fantastic Four (2005)
567,34150,1.0,Fantastic Four (2005)
580,34150,3.0,Fantastic Four (2005)
590,34150,2.0,Fantastic Four (2005)
596,34150,3.0,Fantastic Four (2005)
599,34150,2.5,Fantastic Four (2005)
605,34150,3.5,Fantastic Four (2005)
15,112852,1.5,Guardians of the Galaxy (2014)
18,112852,4.5,Guardians of the Galaxy (2014)
21,112852,4.0,Guardians of the Galaxy (2014)
30,112852,5.0,Guardians of the Galaxy (2014)
52,112852,5.0,Guardians of the Galaxy (2014)
62,112852,4.0,Guardians of the Galaxy (2014)
63,112852,4.0,Guardians of the Galaxy (2014)
68,112852,4.5,Guardians of the Galaxy (2014)
73,112852,5.0,Guardians of the Galaxy (2014)
98,112852,3.0,Guardians of the Galaxy (2014)
105,112852,4.0,Guardians of the Galaxy (2014)
106,112852,3.5,Guardians of the Galaxy (2014)
111,112852,4.5,Guardians of the Galaxy (2014)
122,112852,4.0,Guardians of the Galaxy (2014)
123,112852,4.0,Guardians of the Galaxy (2014)
148,112852,3.5,Guardians of the Galaxy (2014)
154,112852,5.0,Guardians of the Galaxy (2014)
177,112852,5.0,Guardians of the Galaxy (2014)
184,112852,4.5,Guardians of the Galaxy (2014)
210,112852,5.0,Guardians of the Galaxy (2014)
212,112852,4.0,Guardians of the Galaxy (2014)
241,112852,4.0,Guardians of the Galaxy (2014)
247,112852,4.5,Guardians of the Galaxy (2014)
249,112852,4.5,Guardians of the Galaxy (2014)
292,112852,4.5,Guardians of the Galaxy (2014)
298,112852,4.0,Guardians of the Galaxy (2014)
305,112852,4.5,Guardians of the Galaxy (2014)
306,112852,3.0,Guardians of the Galaxy (2014)
323,112852,4.0,Guardians of the Galaxy (2014)
328,112852,1.0,Guardians of the Galaxy (2014)
331,112852,3.0,Guardians of the Galaxy (2014)
344,112852,5.0,Guardians of the Galaxy (2014)
365,112852,3.0,Guardians of the Galaxy (2014)
380,112852,5.0,Guardians of the Galaxy (2014)
393,112852,5.0,Guardians of the Galaxy (2014)
401,112852,3.5,Guardians of the Galaxy (2014)
414,112852,4.0,Guardians of the Galaxy (2014)
448,112852,3.5,Guardians of the Galaxy (2014)
466,112852,3.5,Guardians of the Galaxy (2014)
475,112852,4.5,Guardians of the Galaxy (2014)
495,112852,5.0,Guardians of the Galaxy (2014)
496,112852,3.0,Guardians of the Galaxy (2014)
506,112852,3.5,Guardians of the Galaxy (2014)
509,112852,4.0,Guardians of the Galaxy (2014)
514,112852,3.0,Guardians of the Galaxy (2014)
522,112852,5.0,Guardians of the Galaxy (2014)
525,112852,4.5,Guardians of the Galaxy (2014)
534,112852,4.5,Guardians of the Galaxy (2014)
550,112852,4.5,Guardians of the Galaxy (2014)
551,112852,3.0,Guardians of the Galaxy (2014)
556,112852,5.0,Guardians of the Galaxy (2014)
561,112852,4.0,Guardians of the Galaxy (2014)
567,112852,3.5,Guardians of the Galaxy (2014)
