userId,Ant-Man (2015),Avengers: Infinity War - Part I (2018),Captain America: Civil War (2016),Deadpool (2016),Deadpool 2 (2018),Doctor Strange (2016),Fantastic Four (2005),Guardians of the Galaxy (2014),Guardians of the Galaxy 2 (2017),Spider-Man: Homecoming (2017),Thor: Ragnarok (2017),X-Men: Apocalypse (2016)
15,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0,1.0
18,4.0,0.0,3.0,3.5,0.0,0.0,3.5,4.5,4.0,3.5,0.0,4.0
21,3.5,0.0,0.0,3.5,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0
25,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
62,3.5,4.0,4.0,4.5,4.0,4.5,3.0,4.0,4.0,4.0,4.0,4.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,4.0,0.0,3.0,3.5,4.5,3.5,0.0,0.0,0.0
73,0.0,0.0,0.0,4.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
98,0.0,5.0,0.0,3.5,5.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0
105,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0
111,3.0,0.0,0.0,5.0,0.0,0.0,0.0,4.5,4.0,0.0,0.0,0.0
114,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,4.5,0.0,4.0,0.0,0.0,3.5,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,3.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0
154,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,0.0,0.0,0.0,0.0
184,4.0,5.0,4.5,0.0,0.0,4.5,0.0,4.5,4.5,4.0,4.5,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
210,4.5,0.0,0.0,3.5,0.0,0.0,0.0,5.0,5.0,4.5,4.5,4.0
212,0.0,0.0,3.0,3.5,0.0,4.0,0.0,4.0,4.0,4.0,4.5,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
233,0.0,2.0,2.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
248,0.0,4.0,0.0,4.5,4.5,4.0,0.0,0.0,4.0,0.0,3.5,0.0
249,4.0,4.5,4.5,4.5,5.0,4.5,3.5,4.5,4.5,4.5,4.5,4.0
252,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.5,0.0,3.0,0.0
272,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
298,3.0,0.0,3.0,3.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,1.5
305,3.5,4.5,4.0,5.0,5.0,0.0,0.0,4.5,3.5,4.0,4.5,0.0
306,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
319,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
